#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20187.00         	 5.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20448.00         	 4.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20395.00         	 5.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20400.00         	 5.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20472.00         	 5.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 20507.00         	 5.000000   	 0.47           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 83754.00         	 9.000000   	 0.57           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 83761.00         	 8.000000   	 0.57           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 83704.00         	 9.000000   	 0.57           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 84980.00         	 9.000000   	 0.56           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 83748.00         	 10.000000  	 0.57           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 83825.00         	 9.000000   	 0.57           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 85024.00         	 10.000000  	 0.56           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 83823.00         	 11.000000  	 0.57           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 83747.00         	 10.000000  	 0.57           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 83716.00         	 10.000000  	 0.57           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 77210.00         	 5.000000   	 0.06           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 77225.00         	 4.000000   	 0.06           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 76853.00         	 4.000000   	 0.06           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 78523.00         	 5.000000   	 0.06           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 76386.00         	 4.000000   	 0.06           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 84120.00         	 4.000000   	 0.06           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 77310.00         	 5.000000   	 0.06           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 76515.00         	 5.000000   	 0.06           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 76869.00         	 4.000000   	 0.06           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 76863.00         	 4.000000   	 0.06           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 100575.00        	 5.000000   	 0.09           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 109174.00        	 4.000000   	 0.09           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 100670.00        	 5.000000   	 0.09           
