#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 24494.00         	 5.000000   	 0.39           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 24413.00         	 5.000000   	 0.39           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 24439.00         	 5.000000   	 0.39           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 24463.00         	 5.000000   	 0.39           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 24449.00         	 6.000000   	 0.39           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 10000        	 24257.00         	 6.000000   	 0.39           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 88619.00         	 12.000000  	 0.54           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 89787.00         	 11.000000  	 0.53           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 88147.00         	 12.000000  	 0.54           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 88324.00         	 12.000000  	 0.54           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 88390.00         	 10.000000  	 0.54           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 88232.00         	 11.000000  	 0.54           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 88089.00         	 11.000000  	 0.54           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 87821.00         	 11.000000  	 0.54           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 89174.00         	 11.000000  	 0.53           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 10000        	 88142.00         	 10.000000  	 0.54           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 96296.00         	 4.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 103793.00        	 4.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 118073.00        	 5.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 96146.00         	 4.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 104191.00        	 4.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 96190.00         	 5.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 98172.00         	 5.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 104351.00        	 5.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 96153.00         	 4.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 50000        	 95252.00         	 4.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 119053.00        	 4.000000   	 0.08           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 119886.00        	 5.000000   	 0.08           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 128834.00        	 5.000000   	 0.07           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 118651.00        	 4.000000   	 0.08           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 128639.00        	 4.000000   	 0.07           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 119133.00        	 5.000000   	 0.08           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 119212.00        	 5.000000   	 0.08           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 131107.00        	 5.000000   	 0.07           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 119624.00        	 5.000000   	 0.08           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 50000        	 119486.00        	 6.000000   	 0.08           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 50000        	 447340.00        	 10.000000  	 0.11           
